,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
2947,2,YA,7,617,67,3,386,1,Reward1,0.01,congruent,0
2948,2,YA,7,617,68,4,379,1,Reward2,0.02,congruent,1
2949,2,YA,7,617,69,4,413,1,Reward1,0.01,congruent,1
2950,2,YA,7,617,70,4,510,1,Reward1,0.01,congruent,0
2951,2,YA,7,617,71,4,409,1,Reward2,0.02,congruent,0
2952,2,YA,7,617,72,3,632,1,Reward4,0,congruent,1
2953,2,YA,7,617,73,3,332,1,Reward4,0.04,congruent,1
2954,2,YA,7,617,74,4,515,1,Reward4,0.04,congruent,1
2955,2,YA,7,617,75,4,744,1,Reward1,0,congruent,1
2956,2,YA,7,617,76,4,454,1,Reward4,0.04,incongruent,0
2957,2,YA,7,617,77,3,511,1,Reward2,0.02,congruent,1
2958,2,YA,7,617,78,4,438,1,Reward4,0.04,congruent,0
2959,2,YA,7,617,79,3,570,1,Reward1,0.01,incongruent,0
2960,2,YA,7,617,80,4,375,1,Reward4,0.04,incongruent,1
2961,2,YA,7,617,81,3,395,1,Reward2,0.02,congruent,0
2962,2,YA,7,617,82,3,725,1,Reward1,0,congruent,0
2963,2,YA,7,617,83,4,411,1,Reward1,0.01,incongruent,0
2964,2,YA,7,617,84,3,542,1,Reward4,0.04,incongruent,0
2965,2,YA,7,617,85,3,440,1,Reward1,0.01,incongruent,0
2966,2,YA,7,617,86,3,352,1,Reward1,0.01,incongruent,1
2967,2,YA,7,617,87,4,906,1,Reward4,0,congruent,1
2968,2,YA,7,617,88,4,615,1,Reward1,0.01,incongruent,0
2969,2,YA,7,617,89,3,493,1,Reward1,0.01,congruent,1
2970,2,YA,7,617,90,3,334,1,Reward2,0.02,incongruent,1
2971,2,YA,7,617,91,4,411,1,Reward1,0.01,congruent,0
2972,2,YA,7,617,92,3,348,1,Reward2,0.02,incongruent,0
2973,2,YA,7,617,93,4,337,1,Reward1,0.01,incongruent,1
2974,2,YA,7,617,94,3,809,0,Reward4,0,incongruent,0
2975,2,YA,7,617,95,4,453,1,Reward2,0.02,incongruent,1
2976,2,YA,7,617,96,3,749,0,Reward4,0,congruent,0
2977,2,YA,8,617,1,3,798,1,Reward2,0,congruent,0
2978,2,YA,8,617,2,4,482,1,Reward2,0.02,incongruent,0
2979,2,YA,8,617,3,4,588,1,Reward2,0.02,congruent,1
2980,2,YA,8,617,4,4,717,1,Reward2,0,incongruent,0
2981,2,YA,8,617,5,3,534,1,Reward4,0.04,incongruent,0
2982,2,YA,8,617,6,4,838,1,Reward2,0,congruent,1
2983,2,YA,8,617,7,3,457,1,Reward4,0.04,congruent,0
2984,2,YA,8,617,8,3,591,1,Reward1,0.01,incongruent,0
2985,2,YA,8,617,9,3,319,0,Reward2,0,incongruent,0
2986,2,YA,8,617,10,3,288,1,Reward1,0.01,congruent,1
2987,2,YA,8,617,11,3,594,1,Reward1,0.01,congruent,1
2988,2,YA,8,617,12,3,569,1,Reward2,0.02,incongruent,1
2989,2,YA,8,617,13,3,1947,1,Reward1,0,congruent,0
2990,2,YA,8,617,14,3,499,1,Reward4,0.04,congruent,0
